ENC  , JD          , D, TCA                 , ALT    , BPLANE, VINF  , VEL_Iner, LST     , LAT   , LON   , SEP   , PHS   , TRA   , INC   , RP    , RA    , BREV  , SREV  , PER   , TOF   , TIM   , ETRA  , S3LON , J2E_X      , J2E_Y      , J2E_Z      , J2E_DX  , J2E_DY  , J2E_DZ  , J2SC_X     , J2SC_Y     , J2SC_Z     , J2SC_DX , J2SC_DY , J2SC_DZ , CI    , CO    , PI    , PO    , SJB   , PANEL, VEL_surf, SUN_range   , AngVel    , AngAcc
   , (ET), , (ET), (km), (deg), (km/s), (km/s), , (deg), (deg), (deg), (deg), (deg), (deg), (RJ), (RJ), (rev), (rev), (days), (days), (days), TRA (deg), (deg), LON (deg), , , , , , , , , , , , (deg), (deg), (deg), (deg), , , (km/s), (AU), (rad/s), (rad/s^2)
69E44, 2464024.9272, O, 03-Mar-2034 10:15:10,   30.00, -166.79,   3.96,   4.44, 10:11:06,  14.63, 358.30,   5.58,  29.97,   3.98,   5.91,   9.26,  34.12,   7.00,   2.00,  12.48,  24.86, 1422.70, -35.67, 252.19, 519484.8106, -378819.3558, -172876.4540,   8.5993,   9.7935,   4.6879, 518271.1790, -378122.3470, -172116.8392,  11.3704,  11.1408,   7.8789,  92.29, 116.56,  32.82,  32.77, 152.29, 9,   4.38, 4.9784751056, 2.7856E-03, 4.7565E-06
71E45, 2464049.7827, O, 28-Mar-2034 06:47:07,   25.00, -107.65,   3.94,   4.42, 12:16:26,  62.03,  32.16,  13.33,  60.63,   9.73,   3.21,   9.23,  38.08,   4.00,   1.00,  14.21,  14.20, 1447.56, -17.78, 214.52, 518737.0170, -378253.2937, -172696.9965,   8.6413,   9.7849,   4.6846, 517983.5648, -378791.1722, -171410.3964,  12.0422,  11.0614,   7.2099, 116.59, 139.66,  32.92,  25.90, 150.03, 12,   4.36, 4.9746984809, 2.7912E-03, 4.7722E-06
72E46, 2464063.9786, O, 11-Apr-2034 11:29:12,   25.00, -117.79,   3.93,   4.41, 09:43:28,  61.11, 356.11,  23.96,  64.97,  12.40,   0.58,   9.18,  38.11,   4.00,   1.00,  14.20,  14.19, 1461.75,  -8.54,  95.80, 513195.2477, -384036.8249, -175512.6026,   8.7988,   9.6749,   4.6346, 512610.3105, -384164.6914, -174044.8086,  12.5964,  11.2015,   6.2810, 137.52, 169.21,  24.78,  25.38, 148.01, 11,   4.36, 4.9726541523, 2.7830E-03, 4.7427E-06
73E47, 2464078.1706, O, 25-Apr-2034 16:05:41,   50.00, -88.32,   3.88,   4.36, 23:26:37,  87.46, 204.47,  34.62,  90.95,  13.15,   2.38,   9.21,  38.10,   4.00,   1.00,  14.21,  14.20, 1475.94,   0.26, 340.02, 504737.8390, -393024.0704, -179862.3128,   9.0250,   9.5039,   4.5566, 504792.7058, -393724.5286, -178414.2605,  12.9260,  11.3194,   5.2869, 167.93, -158.50,  23.48,  24.12, 145.59, 5,   4.23, 4.9707008567, 2.7116E-03, 4.5005E-06
74E48, 2464092.3743, O, 09-May-2034 20:58:59,   35.00, -56.49,   3.88,   4.37, 21:41:49,  53.21, 179.67,  45.39, 118.07,  10.80,   4.78,   9.28,  38.10,   4.00,   1.00,  14.24,  14.20, 1490.15,  10.15, 215.29, 505424.2375, -392453.1805, -179628.7184,   9.0265,   9.4997,   4.5547, 506150.7830, -393548.9864, -178724.6677,  12.6755,  11.8970,   4.5280, -158.37, -125.16,  24.11,  24.50, 144.38, 4,   4.25, 4.9689050382, 2.7363E-03, 4.5810E-06
75E49, 2464106.5774, O, 24-May-2034 01:51:26,   35.00, -23.83,   3.88,   4.37, 21:33:21,  19.69, 179.02,  56.34, 138.18,   4.91,   5.82,   9.33,  38.01,   4.00,   1.00,  14.22,  14.21, 1504.35,  20.05,  91.00, 505765.8913, -392511.4653, -179695.0347,   9.0370,   9.4840,   4.5474, 506908.5968, -393624.3830, -179612.3643,  12.0875,  12.5893,   4.1855, -125.17, -92.64,  24.68,  24.90, 143.10, 2,   4.24, 4.9672145087, 2.7347E-03, 4.5763E-06
76E50, 2464120.7832, I, 07-Jun-2034 06:47:47,   50.00,  10.78,   3.88,   4.37, 21:26:54, -12.55, 178.59,  67.54, 140.57,  -2.27,   5.17,   9.32,  38.00,   4.00,   1.00,  14.21,  14.21, 1518.56,  30.32, 324.61, 508296.4562, -390547.6523, -178790.6162,   8.9943,   9.5042,   4.5566, 509494.7756, -391329.5550, -179534.0270,  11.3104,  13.2017,   4.4011, -93.74, -61.60,  24.88,  24.82, 142.09, 2,   4.20, 4.9656449507, 2.7075E-03, 4.4881E-06
77E51, 2464134.9886, I, 21-Jun-2034 11:43:32,   35.00,  47.15,   3.89,   4.37, 21:18:07, -46.04, 177.62,  79.10, 123.35,  -8.64,   3.03,   9.27,  38.06,   4.00,   1.00,  14.22,  14.21, 1532.76,  40.38, 198.53, 510489.5848, -389169.1343, -178166.5714,   8.9586,   9.5148,   4.5612, 511329.3934, -389347.3536, -179511.9863,  10.6318,  13.5216,   5.0748, -62.06, -29.22,  24.72,  24.27, 141.01, 6,   4.26, 4.9641813446, 2.7396E-03, 4.5929E-06
78E52, 2464149.1946, I, 05-Jul-2034 16:40:11,   87.64,  81.46,   3.88,   4.36, 20:41:04, -80.16, 169.52,  91.13,  98.11, -11.65,   0.28,   9.26,  38.22,   4.07,   1.07,  14.28,  14.46, 1546.97,  50.52,  71.96, 513113.6578, -387524.8588, -177415.4922,   8.9110,   9.5307,   4.5682, 513310.6272, -387028.2692, -178973.6810,  10.2665,  13.4225,   5.9799, -29.87,   3.43,  23.88,  22.97, 139.98, 6,   4.12, 4.9628296511, 2.6445E-03, 4.2858E-06
79E53, 2464163.6533, O, 20-Jul-2034 03:40:48,   69.99, 174.81,   3.91,   4.38, 09:02:16,  -4.99, 330.41, 103.93,  44.91,  18.42,   0.36,   9.11,  32.18,  12.69,   3.67,  11.58,  45.06, 1561.43,  85.92, 111.15, 651589.3526, -146352.5846, -62689.7043,   3.3881,  12.0444,   5.6986, 650397.9473, -145287.9745, -62357.1200,   6.3533,  14.8841,   7.2310, 176.22, 175.55,  21.90,  34.97, 164.64, 9,   4.23, 4.9625203895, 2.6852E-03, 4.4199E-06
