000 000 000
000 000 002
000 000 005
000 000 008
000 000 011
000 001 013
000 002 015
000 002 018
000 003 020
000 004 022
000 005 024
000 006 025
000 007 027
000 009 029
000 010 030
000 012 032
001 013 033
001 015 034
001 017 035
001 019 036
001 021 037
001 023 038
001 025 038
002 027 039
002 029 039
002 032 040
002 034 040
002 037 040
003 040 040
003 042 040
003 045 040
003 048 040
004 051 040
004 054 040
004 057 039
004 060 039
005 064 038
005 067 038
005 070 037
005 074 036
006 077 036
006 081 035
006 084 034
007 088 033
007 092 032
007 096 030
008 100 029
008 104 028
009 108 026
009 112 025
009 116 023
010 120 022
010 124 020
011 128 019
011 133 017
011 137 015
012 141 013
013 144 012
016 144 013
019 144 013
022 143 014
025 143 014
028 142 015
031 141 015
034 141 016
037 140 016
041 139 017
044 138 017
048 137 018
051 136 018
055 135 019
058 134 019
062 133 020
065 132 020
069 130 021
073 129 022
077 128 022
081 126 023
085 125 023
088 123 024
092 121 025
096 120 025
100 118 026
105 116 027
109 115 027
113 113 028
117 111 029
121 109 029
125 107 030
130 105 031
134 103 031
138 101 032
143 099 033
147 097 033
151 095 034
156 093 035
160 091 036
165 088 036
169 086 037
174 084 038
178 082 039
183 079 040
187 077 040
192 075 041
196 072 042
201 070 043
205 068 044
210 065 044
214 063 045
219 060 046
224 058 047
228 056 048
233 053 049
237 051 050
237 050 053
235 051 057
233 052 061
231 053 065
229 054 070
226 055 074
224 056 078
222 057 083
220 058 087
217 059 091
215 060 096
213 061 100
210 062 105
208 063 109
205 064 113
203 065 118
201 066 122
198 067 126
196 068 131
194 069 135
191 070 139
189 071 144
186 072 148
184 073 153
181 074 157
179 075 161
177 076 165
174 077 170
172 079 174
169 080 178
167 081 183
165 082 187
162 083 191
160 084 195
158 085 199
155 087 204
153 088 208
151 089 212
149 090 216
146 091 220
144 093 224
142 094 228
140 095 232
138 096 236
136 097 240
134 099 243
131 100 247
129 101 251
127 102 255
125 104 255
124 105 255
122 106 255
120 108 255
118 109 255
116 110 255
115 112 255
113 113 255
114 117 255
116 121 255
117 126 255
118 130 255
120 134 255
121 138 255
122 142 255
124 147 255
125 151 255
127 155 255
128 159 255
129 162 253
131 166 250
132 170 248
134 174 246
135 178 244
137 182 241
138 185 239
140 189 237
141 192 235
143 196 233
144 199 231
146 203 229
147 206 227
149 209 226
150 213 224
152 216 222
153 219 220
155 222 219
156 225 217
158 228 216
160 231 214
161 233 213
163 236 212
164 239 210
166 241 209
168 244 208
169 246 207
171 249 206
172 251 205
174 253 204
176 255 204
177 255 203
179 255 202
181 255 202
182 255 201
184 255 201
186 255 200
188 255 200
189 255 200
191 255 200
193 255 200
195 255 200
196 255 200
198 255 200
200 255 201
202 255 202
205 255 203
208 255 205
211 255 207
214 255 209
216 255 211
219 255 212
222 255 214
224 255 216
227 255 218
229 255 220
231 255 222
233 255 224
235 255 225
237 255 227
239 255 229
241 255 231
243 255 233
244 254 235
246 254 237
247 254 239
248 253 241
250 253 243
251 253 245
252 253 247
253 253 249
253 254 251
254 254 253
255 255 255
