  0   0   0
255  92  77
  0 207 163
207  10   0
  0   0 255
  0 125  64
 41  23  64
 23   0  51
163   3   0
 51   8   0
125 158   0
125 158  10
 23  23  92
255  51  64
143 158   0
 64  64 255
  0  92  23
255  51   0
255  92   0
  0 255   0
  0  64 255
207 255   0
128 128 128
 51   0   0
255  31 255
255 184  10
255   0 255
 64   0   0
255  64   0
 77   0  23
207 158  10
  0   0  92
 51   0 158
  0   0 163
163 125   0
255  31   0
143   3   0
255 125   0
163  56 207
255  64  77
 92  92 255
  0  31  56
 31   0  18
 23   0  31
 64  10   3
 51 158   0
255   0   0
255  10   0
 92   0  64
 92   3  10
 41 255  41
 41   8   0
125 125 125
 41  92 207
 92 255  92
143  31   0
207  10 255
  0 143 163
 10   0  41
163   0  64
255 255   0
125 255   0
255  59   0
255 255 255
