time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),measurement_stability (W/m^2/nm),measurement_precision (W/m^2/nm),instrument_uncertainty (W/m^2/nm),quality (Bit Flag)
2458192.0,200.015,0.00693574811,2.6561790946288966E-5,9.140854672295973E-6,2.9044882467132993E-5,0
2458192.0,200.060,0.00695445862,2.6649209758033976E-5,9.158326975011732E-6,2.9141021514078602E-5,0
2458192.0,200.104,0.00699512686,2.6822906875167973E-5,9.21585797186708E-6,2.9325359719223343E-5,0
2458192.0,200.149,0.00710162303,2.72051493084291E-5,9.356876944366377E-6,2.9782579076709226E-5,0
2458192.0,200.194,0.00720168362,2.7577079890761524E-5,9.496253369434271E-6,3.0192288249963894E-5,0
2458192.0,200.239,0.00723859478,2.7772892281063832E-5,9.554126336297486E-6,3.0385423087864183E-5,0
2458192.0,200.284,0.00726378331,2.783018680929672E-5,9.57837255555205E-6,3.0422645068028942E-5,0
2458192.0,200.329,0.0072866177,2.791923725453671E-5,9.607049832993653E-6,3.054243279621005E-5,0
2458192.0,200.374,0.00729394646,2.793896055663936E-5,9.620313903724309E-6,3.0543465982191265E-5,0
2458192.0,200.419,0.00728784716,2.7959995350101963E-5,9.618845069780946E-6,3.0568669899366796E-5,0
2458192.0,200.464,0.00731275369,2.8030441171722487E-5,9.647483238950372E-6,3.0640447221230716E-5,0
2458192.0,200.509,0.00736869864,2.8225853384356014E-5,9.72077850747155E-6,3.0868788599036634E-5,0
2458192.0,200.554,0.00743315019,2.84820325759938E-5,9.810881238081492E-6,3.11778494506143E-5,0
2458192.0,200.600,0.00746703604,2.8596094125532545E-5,9.856605174718425E-6,3.127724994556047E-5,0
2458192.0,200.645,0.0074640429,2.8581653168657795E-5,9.853905794443563E-6,3.125184230157174E-5,0
2458192.0,200.691,0.00743779396,2.8490407203207724E-5,9.82337678578915E-6,3.1148578273132443E-5,0
2458192.0,200.737,0.00739702567,2.8334614398772828E-5,9.76507999439491E-6,3.096372165600769E-5,0
2458192.0,200.782,0.00736251156,2.8229474992258474E-5,9.72620091488352E-6,3.0847848393023014E-5,0
2458192.0,200.828,0.00736823737,2.8241847758181393E-5,9.732641046866775E-6,3.087500954279676E-5,0
2458192.0,200.873,0.00740257787,2.836590829247143E-5,9.781556400412228E-6,3.101590846199542E-5,0
2458192.0,200.919,0.00745514371,2.8550555725814775E-5,9.849018169916235E-6,3.1244420824805275E-5,0
2458192.0,200.965,0.00748241574,2.8617045245482586E-5,9.884158316708636E-6,3.128770913463086E-5,0
2458192.0,201.011,0.0074864131,2.866272916435264E-5,9.894994036585558E-6,3.134815415251069E-5,0
2458192.0,201.057,0.00748046828,2.8645514248637483E-5,9.882941412797663E-6,3.1320050766225904E-5,0
2458192.0,201.103,0.00746226198,2.8609994842554443E-5,9.863396371656563E-6,3.1262483389582485E-5,0
2458192.0,201.149,0.00749869577,2.876112012017984E-5,9.917080205923412E-6,3.1444691558135673E-5,0
2458192.0,201.195,0.0075992407,2.9123057174729183E-5,1.0048771400761325E-5,3.186128014931455E-5,0
2458192.0,201.241,0.00772925573,2.9604052542708814E-5,1.0222059245279524E-5,3.2395360904047266E-5,0
2458192.0,201.287,0.00786129479,3.0119223083602265E-5,1.0396535799372941E-5,3.2981733966153115E-5,0
2458192.0,201.333,0.00795740307,3.0463603252428584E-5,1.0525178367970511E-5,3.3338001230731606E-5,0
2458192.0,201.379,0.00799785396,3.060213930439204E-5,1.0579230547591578E-5,3.3481755963293836E-5,0
2458192.0,201.425,0.00797462587,3.051059684366919E-5,1.0543991265876684E-5,3.3368469303241E-5,0
2458192.0,201.472,0.00789379552,3.0216373488656245E-5,1.04396058304701E-5,3.300867319921963E-5,0
2458192.0,201.518,0.00781797966,2.9943123081466183E-5,1.0339782420487609E-5,3.2699019357096404E-5,0
2458192.0,201.565,0.00778614297,2.986422441608738E-5,1.0303331691829953E-5,3.262491009081714E-5,0
2458192.0,201.612,0.00784380276,3.007126724696718E-5,1.0383280823589303E-5,3.286909850430675E-5,0
2458192.0,201.658,0.00797748741,3.057086360058747E-5,1.0562773240962997E-5,3.3453336072852835E-5,0
2458192.0,201.705,0.00813917567,3.116315201623365E-5,1.077289016393479E-5,3.410431236261502E-5,0
2458192.0,201.752,0.00829591084,3.177485996275209E-5,1.0983445463352837E-5,3.4783482988132164E-5,0
2458192.0,201.799,0.00843501448,3.227948764106259E-5,1.1171876394655555E-5,3.5365086660021916E-5,0
2458192.0,201.845,0.00851205957,3.2467163691762835E-5,1.1286030712653883E-5,3.5668592317961156E-5,0
2458192.0,201.892,0.00852981408,3.232556628063321E-5,1.1293134775769431E-5,3.5727087379200384E-5,0
2458192.0,201.939,0.008487618,3.1842449971009046E-5,1.12001134766615E-5,3.551891495590098E-5,0
2458192.0,201.986,0.00839381712,3.1213534384733066E-5,1.1037458534701727E-5,3.514273703331128E-5,0
2458192.0,202.033,0.00826502893,3.0458901164820418E-5,1.0830498467839789E-5,3.45709704561159E-5,0
2458192.0,202.079,0.00811011201,2.9623617592733353E-5,1.0593122169666458E-5,3.390641722944565E-5,0
2458192.0,202.127,0.00798410614,2.895292163884733E-5,1.0378404112998396E-5,3.341513001942076E-5,0
2458192.0,202.174,0.00791756406,2.8467304218793288E-5,1.0266693607263733E-5,3.314960122224875E-5,0
2458192.0,202.221,0.00790791482,2.8109676350140944E-5,1.0215736438112799E-5,3.311227555968799E-5,0
2458192.0,202.269,0.00794226561,2.8039310564054176E-5,1.0194934475293849E-5,3.3321877708658576E-5,0
2458192.0,202.316,0.00802264693,2.8087479222449474E-5,1.0228765859210398E-5,3.3626260119490325E-5,0
2458192.0,202.364,0.0080512001,2.8001502869301476E-5,1.0227264283457771E-5,3.37266392307356E-5,0
2458192.0,202.411,0.00794817504,2.7433745344751514E-5,1.0073662451759446E-5,3.320945324958302E-5,0
2458192.0,202.458,0.00772762906,2.6542677005636506E-5,9.76105820882367E-6,3.230035144952126E-5,0
2458192.0,202.506,0.00744005819,2.538568696763832E-5,9.360833246319089E-6,3.1104282243177295E-5,0
2458192.0,202.553,0.00714658427,2.420334203634411E-5,8.950645678851288E-6,2.987765947182197E-5,0
2458192.0,202.601,0.00694167191,2.3358006728813052E-5,8.639137377031147E-6,2.90666375803994E-5,0
2458192.0,202.649,0.0069317198,2.3124284780351445E-5,8.580231224186718E-6,2.906279405578971E-5,0
